C_ID,C_TAX_ID,C_GNDR,C_TIER,C_DOB,C_L_NAME,C_F_NAME,C_M_NAME,C_ADLINE1,C_ADLINE2,C_ZIPCODE,C_CITY,C_STATE_PROV,C_CTRY,C_PRIM_EMAIL,C_ALT_EMAIL,C_CTRY_CODE_1,C_AREA_CODE_1,C_LOCAL_1,C_EXT_1,C_CTRY_CODE_2,C_AREA_CODE_2,C_LOCAL_2,C_EXT_2,C_CTRY_CODE_3,C_AREA_CODE_3,C_LOCAL_3,C_EXT_3,C_LCL_TX_ID,C_NAT_TX_ID,CA_ID,CA_TAX_ST,CA_B_ID,CA_NAME
4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,15276,IMmUTKDAuhaGHooNSGWIhMkezRMOyWLBVUSNyzW APqJirw
3418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2487,UIryJLwDGUxc rC ufybUlHJIVVTbnKJzt
810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24711,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
3224,,,3,,,,,17788 Eagle Trace Park,,90882,Torrance,Nova Scotia,Canada,Shiva.Froehlich@privacyharbor.com,,,,951-0256,95035,,,609-8896,,1,549,383-4670,,,,,1,,
606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4070,nrcTLKqKFKCnEBhNyeLPNb YnLGSnAjhGP
4399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,19154,cbQSCSUoplTTKASKtXXLVQKwznlyyyfgVK TgO HJjib
2256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2846,RzvifLHYLzJyn WV ashrefdlGrZtNFE
1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7393,dBWosKuFHtcJDwmsEenhzFx wjNXRqOQhnobnMmhaSOLblXnK 
4722,796-22-2466,F,3,1926-07-26,Steip,Eamonn,N,20093 Canterbury Way,,V6U 1Q7,Erie,WV,United States of America,Eamonn.N.Steip@gmx.hk,,,,808-1187,46036,,375,166-5549,,,,,,OR2,NC3,1,1,18127,gEyVyERqOLQnlAcTfsEExBFAabNOpVtBAtAknN
1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,22777,XMWOgnhfMAeuQKiRRPdQjzIfOBlZgRdrHxfjlSBHDLJAozP
4723,631-43-4781,,3,1928-02-11,Farrington,Ines,,1080 Lavender Lane,,68101,New Orleans,SD,United States of America,Ines.Farrington@hush.com,Ines.Farrington@quake0.de,1,418,508-2307,,,,,,,835,873-4612,,YT4,HI9,1,1,10357,
4724,400-31-0899,,3,2014-03-08,Nizman,Linnie,,2068 Alabama Avenue,,93728,Dayton,WI,United States of America,Linnie.Nizman@gmx.co.uk,,,,295-2934,,,,,,,,,,SC2,NM1,2,1,652,bkxoZumfPvwLpEufmYxQRcjrYCIKAbBBVGRAUvUM
4725,810-57-5049,,3,1950-01-31,Lilly,Levent,J,7626 Carolina Rue,,93062,Sherbrooke,ID,United States of America,Levent.J.Lilly@hotmail.com,,,,495-7379,,1,423,580-2806,,,,340-8986,,WI2,ON4,2,1,2672,VLQEwmFRRLOHFcKakKtEYRdIqhGRASY
1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
4726,305-98-0022,M,1,1999-12-03,Chandrashekar,Edyta,,11919 Morning Crescent,,85771,Edmonton,MI,United States of America,Edyta.Chandrashekar@shtrudel.org,,1,697,434-8843,,,394,710-0178,,,,,,NE3,VA2,1,1,12144,Swsl HkMQVDSAF ECxHlMzJcmENyxvlHVDVMxQRJ
4727,634-33-1898,,3,1971-12-07,Kureshy,Hugh,,3974 Reagan Street,,66108,Anaheim,NV,United States of America,Hugh.Kureshy@vegemail.com,Hugh.Kureshy@usa.com,1,627,301-7954,,,,656-9557,,,,,,NS5,IA4,2,1,16323,SLbyFDSlveDkIJDHoFnOCJPptGvUbMyUCjIEkiIUsJoinsGEle
2803,,,,,,,,232 Lyle Park,,27113,Philadelphia,WV,United States of America,Dierdre.N.Berhane@shtrudel.biz,,,,172-5644,,,,570-1784,,,,,,,,,1,,
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3361,
4728,325-43-5288,,3,1922-08-29,Befanis,Symen,,14329 Rio Grande Lower,,19093,Toledo,NE,United States of America,Symen.Befanis@hushmail.com,,,,090-1039,,,308,785-8166,,,,180-7524,,NY3,AZ5,1,1,9941,mKBUiHuMCHFbxKDFBDIZRYRNLjPsFroH KKTzoMUJoZO
4729,948-74-2148,,3,1970-10-10,Labonte,Elleke,C,9704 Neilson Crescent,,30311,Bridgeport,Nova Scotia,United States of America,Elleke.C.Labonte@mailmaniacs.com,Elleke.C.Labonte@mail2world.com,1,596,156-4816,,,,021-7998,,,,,,IA3,MO6,1,1,18090,EInLN zAPfLEIPEJJNFQuShwMxMtnByzDLJfjqS
4730,075-34-6081,,3,1973-05-11,Vuignier,Loon,,6749 Cliffbrook Way,,85707,Hollywood,TX,Canada,Loon.Vuignier@farce.de,Loon.Vuignier@mail.com,1,592,117-4548,99148,,,741-0857,,,841,901-9502,,NF6,OR2,1,1,5240,CrvUPqEsghBXDrSUHRyNVFMKRDTIzNsqMcbNLkR
591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4731,549-92-5847,M,3,1949-10-20,Angerer,Helena,,3658 Olmos South,,55429,St. Paul,IL,United States of America,Helena.Angerer@wraped.net,Helena.Angerer@yahoo.com,,760,764-5919,,,219,795-7454,,,,,,BC3,QC3,1,1,7290,
4732,272-93-2565,,3,1953-08-17,Vaillancourt,Dita,,11635 Sun Tree West,,85016,Garden Grove,OK,United States of America,Dita.Vaillancourt@12Freeukisp.co.uk,,,,282-5375,,1,725,666-3058,,,,,,ID2,WV1,0,1,2498,KJhyZGyRPqRjMY OVoeKYSMMiKnSPKPi
4733,130-68-6085,,2,2000-06-07,Gallman,Butch,G,21422 Ingersoll East,,27405,Cleveland,MS,United States of America,Butch.G.Gallman@gmx.com.my,Butch.G.Gallman@wildmail.com,,552,374-0172,,1,306,216-8390,,,,,,NF6,AR1,0,1,8542,fJFUvEFGDdYWNlxJNBIrvPTLJzCZCTgTIAizxRBDgxAyhpCLjO
2390,,,2,,,,,8968 Dexter Street,,H2F 1W2,Jacksonville,GA,,,,1,856,857-7490,,,,,,,,,,,,,1,,
4658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11223,rTEngTONyQMMcVtTjJzhEDQVUVWUoAuJMfyjYUAOhlpPajO
4734,567-16-4691,m,3,2013-12-08,Mezzoiuso,Lyle,,5654 Ardmore Lane,,64176,Fullerton,KS,United States of America,Lyle.Mezzoiuso@lavabit.com,Lyle.Mezzoiuso@usa.com,,,361-7510,,,,,,,,232-4804,,ME1,LA2,0,1,8836,tiU iLykOKhqF DJCMmLLLCLwcMZRLyNrtk
4735,416-57-7988,,2,1981-12-24,Weppler,Prudence,,24366 Carolina Lane,Suite 290,V6U 1W8,Fort Collins,UT,United States of America,Prudence.Weppler@webmail.co.za,Prudence.Weppler@gmx.pt,1,401,208-0390,55017,,,796-3474,,,,,,NS7,IA2,1,1,14,ADJwLqcGjtjLAlATKqUKWfTDEhALBoeEWh
2627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,22054,
4736,865-43-7604,,,1927-02-13,Muehle,Marylinda,G,3867 Ashley Road,,M6S 1G2,St. Catharines,KY,United States of America,Marylinda.G.Muehle@europe.com,,,256,923-0398,,,,769-9721,58806,,,,,MB8,WV5,1,1,2051,aKazRkaCFhSpJrtCApINaKADiVmjKUImV
4737,062-14-3685,,2,2012-03-11,Byk,Livia,,22077 Bledsoe North,Apt. 186,95118,Lancaster,IN,United States of America,Livia.Byk@gawab.com,,,,316-6207,,,,,,,,,,OH8,MS2,1,1,11087,TYcWiLIPQohC WqNshsWnHcNlQhFbhyKfJuqzNR
4738,033-38-2665,,2,2015-05-17,Janke,Rilla,,10482 Oxford Upper,,M5F 1U1,Sterling Heights,Newfoundland,United States of America,Rilla.Janke@vfemail.net,Rilla.Janke@netdove.net,1,951,237-4058,,,,,,,377,482-9486,,OH6,OH5,1,1,11384,nquJGQYAJWYcqtGCURTNf yHHflYhc
2766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4739,405-93-6940,,3,1918-03-19,Schneiders,Caron,,4602 Tiffany Lane,,77199,Topeka,WI,United States of America,Caron.Schneiders@shtrudel.tv,Caron.Schneiders@macgui.com,,,298-5609,,1,455,136-8179,77742,,,,,ND8,IA5,1,1,2037,pUyurQQfwBlRsBqKbDarpTSACImmBAWGoPhVETdIPC
539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,23715,VESabiqyVx BCtqvqgAVoOmjFHYvzDwETb
4141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,23496,WDRDgjVOWBDKvcGsIxzaPjCEnLqUNlPTP qS
4053,,,2,,,,,,,20008,Spokane,MD,United States of America,,,1,722,485-6051,,,,616-0087,,1,913,437-3219,,,,,1,,
3829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,11769,jhjgQuSRGUVwCxENiGrCMPQVCPyBVHKEEQAScLOjDaY
2242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,20914,bFEtGEjSPbSXjMPFPrbMqQfVzxPQhSOtvtXMvNs
2707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5216,ue OeTIhSLqraJMIbWySStWSEDXCBDcIVTURZ
4652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12117,nEjuCDclzCFBOjMClNZEKhKGRSzEHXx
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,KHCJLQADhqOXACRxDBClGQcdfRasOfAeC
2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9920,qBELKxowFpsNGZQHNWJvwLBtyFwsQOHHg
2510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,18660,qEqWscuTDiwvIFeQvjNaUoXyIncoEMUhE
2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,267,wYLBSYvKkLmtPMaDNCFXAFoCBqdTRT
4425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
3733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
2976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2344,jPuBElPIooYPMePVUKhBqPKPiQkBnyQuHdMRpH
686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,19608,mNAXTNWwhzRcyQQAFIrEBUIZjiLAKOPFmKZqlRVBIlSB
2159,,,3,,,,,3871 Valita Boulevard,,,San Antonio,VT,Canada,,,,803,854-0994,,1,344,907-4608,,1,568,574-9986,,,,,1,,
4698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,881,wwjoHLilzHHFE dHjkwJzBQHSGqirAziVrzWZuBACl
2038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,14420,GWEQXziCOgkOOhTZIOFfbsOBAsMIeKaE tsBX
3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9347,wTigzFGCHYCmTBREJdbNoSfgZSTvFW
3234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,24967,Tkjg xFXUsCSBDGBNUuBFYckfIs PbghEuSvut rZ
2495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7509,YzWTEAxJTJdCHpIGNyoJydsDhnyMma
2907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,7198,bOF BMbMeyUkSXNknJMpbvFrImRRQodqWeVit
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,10180,NxPOvkTyLePXNJJpaSC uEgnvHtOeBzUzAIetqReBzoCBv
1338,,,2,,,,,15962 Tamarind Park,,98146,Brownsville,NY,United States of America,Adria.Owensby@4uchat.de,,,522,006-7041,65378,1,281,718-7599,,,,545-1270,,,,,1,,
2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4439,XWaacM AnvFQJYpKVFyqDNVzSNghEUyLTnMZIFxWRUHG
4740,848-63-1787,f,,2015-01-22,Seery,Torey,Y,16708 Ankara Upper,,80959,Hollywood,DE,United States of America,Torey.Y.Seery@myway.com,,,,119-3945,,,,526-1313,,,,,,OK5,SK4,2,1,18905,VCOtFnZPwVnIYuaHnPUQekcLbqeSXvT
4741,330-09-8873,,3,1946-10-15,Vakili,Juile,,20306 Ames North,,M5D 1W5,Columbia,Prince Edward Island,United States of America,Juile.Vakili@operamail.com,Juile.Vakili@fastemailer.com,,888,819-7209,,1,291,997-5614,,,,,,ON2,ON4,1,1,20102,EEJaBKGqYNGEhBDqgrPDowkDFFfiUYaEkJOK AmTFtfYJpmYK
4742,698-86-1011,m,1,1976-01-29,Loeffler,Anastasie,,20566 Fairfield Court,,V6H 1U9,Evansville,AK,Canada,Anastasie.Loeffler@deacons.com,,,,362-2279,,,,945-5031,,,,950-7359,,PE2,CN4,0,1,12226,JaSXmrI ItLVxjkFNJnoMCBJoPRgIrsW 
4743,112-38-7954,,3,1995-06-25,Smecca,Duy,F,4032 Erie Court,,38192,Orange,AL,United States of America,Duy.F.Smecca@care2.com,,,,513-0005,,,,894-5282,,,,,,IA8,MB7,1,1,1696,WaUqSN pAHPpUZJJoaXLFMslFsyAXr
1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,17319,p zwkmXIDdOebShaxXwvWuMvNPqIIlWGASTRRfFdoW
406,,,3,,,,,9929 Michaels West,,36187,Halifax,Quebec,Canada,Darcie.M.Eu@shtrudel.biz,Darcie.M.Eu@macgui.com,1,638,394-9087,67091,,551,352-8092,,,,,,,,,1,,
4744,407-89-7437,t,3,2003-10-24,Loewen,Myrilla,D,187 Harvard Street,,14217,Hartford,UT,United States of America,Myrilla.D.Loewen@whale-mail.com,Myrilla.D.Loewen@mailmaniacs.com,,,145-7033,,,359,867-4244,,,662,497-7778,,ID6,MT3,1,1,3374,ny IlmkqMrRHJssChQOaPJGUjyFBEKetLyCQ
4745,745-41-6884,,3,1941-12-17,Larock,Katsumi,F,15293 Forest Avenue,,V6X 1S7,Phoenix,CA,United States of America,Katsumi.F.Larock@hushmail.me,,,387,613-8171,,,,557-1524,,,,266-4679,,SC3,MO5,1,1,5708,szlQZIMbzsbnFIiOlIBmlLEcawDsaTLFbKBbiy
4746,069-47-6732,M,3,1926-01-24,Rauen,Lani,,3561 Hilltop Lower,Apt. 486,V6U 1Q2,Rancho Cucamonga,Nova Scotia,United States of America,Lani.Rauen@mac.hush.com,,,935,899-9533,,,,137-8031,,,,,,NB5,NY1,2,1,22923,oOgSGajvlkHtpjUOGfQVTEnoXdVazDXCBnVaalYNoRsu
4747,020-36-4504,M,2,1974-07-05,Hollenbeck,Angus,,5385 Young West,,60760,Mount Pearl,KY,United States of America,Angus.Hollenbeck@gmx.fr,,,,379-5252,,,,,,,,,,NT1,NB1,1,1,12219,sOfwLPAFaOvYcwSBFCHRxnMZMBDXMnSoqFPPn
4280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1236,IPdiMHkUMyvmMcTOUSBSTqMfLgIFAFDmnNMGDJhEjSqhOOqYQZ
1347,,,3,,,,,,,H5J 1O7,Montpelier,WV,United States of America,Juanita.Ingersoll@vegemail.com,Juanita.Ingersoll@wildmail.com,,,005-0335,,1,311,434-2542,11212,1,639,516-5368,,,,,1,,
4748,197-34-5266,,2,1963-04-08,Waddick,Mallorie,,11510 Wakeforest Rue,,V6M 1S3,Boston,DE,United States of America,Mallorie.Waddick@ProtectAnimals.com,,,,023-5219,,,,,,,,,,ON5,DE7,0,1,14290,JbCuVpCSuDEWJWLdzHnZAyZoDEGcWdKqHCEXxEwBeRSg
4749,312-55-4965,,2,1925-09-26,Serbus,Valina,,22632 Country Road,,T5A 1W1,Fort Worth,FL,United States of America,Valina.Serbus@gmx.us,Valina.Serbus@mailvault.com,,,288-8714,46322,,,543-4867,,,,,,WA1,SC1,1,1,13366,bWFvPtPTLRjtDZTsKBHLvDVAYlhCqdWfXQHGJSdJloWRlJq
4750,671-54-1798,f,3,1950-03-17,Aylwin,Marietta,,17261 Alpine Upper,,98176,Charleston,TN,United States of America,Marietta.Aylwin@devils.com,,,,822-7372,,,,297-8154,,,,,,CO1,MO6,2,1,23036,TTPCEqiJQQtlpjRAP rAHgOwPLYUPDGzRfzHgCJoMoY
2646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,18151,
1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4751,918-87-8156,f,3,1952-07-06,Zirko,Rosana,,719 Holman Court,,48255,Newark,SD,United States of America,Rosana.Zirko@mailvault.com,Rosana.Zirko@mail.be,,423,636-8095,,,388,847-3988,00236,1,674,814-3924,,IA1,ON2,2,1,15248,PDJHsQnpYStKPDXeSMaoDeaZGdPccPnQeKXBnchI
4752,432-85-1039,f,3,1975-01-02,Lilly,Sylvie,,14518 Westheimer Avenue,Apt. 653,99692,Santa Clarita,NH,Canada,Sylvie.Lilly@mail.com,Sylvie.Lilly@taunusstein.net,,,868-2139,,,,812-9421,62279,,,,,CT1,YT5,0,1,15613,WlVrwoVGzrAGGiHFwWdmHcEgELfvOFcDRIUc
4753,951-37-3680,f,,1935-02-02,Mivehchi,Alfi,,18603 Camp Bowie South,,44311,Toronto,FL,United States of America,Alfi.Mivehchi@mail.be,Alfi.Mivehchi@vegemail.com,,,469-9823,,1,428,690-4024,,,,974-8928,,ID2,QC3,1,1,11322,NQEeUzTTMpTWWZpKcLkVjeoOCVZdrCmTOeKSQMhILAWxhkBas
4754,882-01-4539,f,1,2014-11-05,Koval,Theodore,,3797 Rutgers Park,Apt. 689,23242,Hialeah,VT,Canada,Theodore.Koval@taunusstein.net,Theodore.Koval@kify.net,1,617,652-3653,,,648,140-4341,,,,,,ON6,AB2,1,1,2982,hTSFrTLshPrDKCSZBDtsanyGeFOPUAmEByzgUECRUDIfPKcZwR
613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,16613,
4415,,,2,,,,,,,89036,Houston,TX,United States of America,Addi.St_James@spamavert.com,Addi.St_James@aussiemail.com.au,,747,340-0442,,,,,,,,310-9152,,,,,1,,
4755,743-82-5733,m,3,1999-12-27,Schnupp,Anny,,20827 Clint Way,,79408,Fort Collins,NM,United States of America,Anny.Schnupp@london.com,,1,567,082-7227,,,,015-4254,,,,,,NT5,MB3,1,1,1955,CJjzYpPiGIqENdeSLAUMeUBdPQXjRsUdNjMNQ
4756,762-57-9493,,2,1982-05-20,Drappel,Jacynth,,7740 Royalton Road,,94516,Tampa,NH,United States of America,Jacynth.Drappel@ProtectAnimals.com,,1,389,889-1120,,,,014-4444,,,,781-8731,58811,NF8,RI1,1,1,16899,yNliogREUdPMMKDm G PnjeKITsJEEsf
4757,164-75-2411,m,3,2004-09-17,Seager,Prashant,,12683 Starling Upper,,V6E 1V5,San Antonio,NV,United States of America,Prashant.Seager@fastmail.fm,Prashant.Seager@mailmetrash.com,1,574,281-9250,,,,335-6300,,,,,,OH9,AL2,2,1,7331,xNMiTjoMMQNcsNScRPkzJsKfUswrgdpDhSEqaYm
3870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5796,KICVOsrxAjZviFCzqZmbVzdSwGvTBHQR i
1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,19591,
4331,,,3,,,,,6726 Englewood Upper,,36605,Yonkers,SD,,Stephenie.V.USER@kify.net,Stephenie.V.USER@safe-mail.net,1,389,787-0362,12657,,465,804-4626,,,,983-2489,,,,,1,,
1453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,16425,FRqxsTpUWATCv  RBtRLnEVEBCMNgkJEUjAfCPfN
1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,12516,QWhsjpPiag OVvKPqOLC yQPNAEKI SVYJ
1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,14300,cKXsEtmDjPRSnmpSMSTjnfWFYfBuAJLINAAnTACJAfMUQTRS
1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5482,SJUMrJTMELTwpUdFHErCqpNTzvwWdFANVxPKUVINCNwSvhtzV
555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13891,eDAsbbBGTNTpRZfWlbVOQZLLJemYCghGvw
4023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,16606,YSbVeTXfLaJaygGKyjfIjekIzRtkkC
1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12137,cMMBsAtqb wMKTBCRfbhVlHUVQdSMHxxbGerIHQCC
1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1010,eOPOD lLbhiUGNpzPQGRWdwbRhl OTXFslfJHnGYthCDNqyYN
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,20140,CfNcaimZlZHpBfvkDCcqVTMyseLESSqIhHUVFLqOGBFM
2951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,21272,ApqSDKCTCbDGjEvuqfPDeJYYlzbBBMK
1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,15542,GcOxRLEMJErJRKNQfmShyALjThAyZoKHslC
675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,980,rVkyfGCsoJqqBFCHTqfeAnnvWJsIg EjeDiCVl
1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24186,
3603,,,2,,,,,784 Olympia Lane,,66626,Independence,MA,Canada,,,1,414,459-4470,,,,867-4987,,,353,571-5310,,,,,1,,
4177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13076,TTbUclfnoAsLFPfneAcVXxNvKATsJIUycTCrOLaSBVNBdxLDI
2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,17578,
2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,21231,KezKABNGwQRtIdSiEjEzgiYLfFDDlGGuvaZVkqRnP
1466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,13151,UsHFHXJkZKWvTByFQWTtFxUUUrlLZPrqRTCiZ
1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12567,xtGFXIWHwHyVUnIHpuSXFLePqUjYQHaosEUxfzVLBG
2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12417,LsVMVyCDiFhhtgSuysRHlbAMymhmJwPYJoLnhfY
3879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4660,wneaVhVVonJYFfMDHBSbSfmyEGqnRABWE
4393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1028,
3613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4758,343-23-2549,,3,1924-12-26,Kuzemka,Meeting,,24048 Crestmere Lane,,91220,Regina,WY,United States of America,Meeting.Kuzemka@gmx.fr,Meeting.Kuzemka@operamail.com,,,553-4030,,1,641,891-3301,,,,,,NU7,ME2,0,1,1696,ysNujEcEVYXrERij KSHJVUFlMOFpuJm
4759,860-95-1614,,3,1922-03-31,Maslen,Luisa,,23517 Lenox Upper,,60718,Jackson,MA,Canada,Luisa.Maslen@fastemailer.com,,,,234-8361,,,598,758-2382,,,,,,ON9,OH2,2,1,21259,NDbNYZgtBKyNZSoTTFbAnrGekjmfCMeMkGGUAqVZ
845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4760,597-86-0339,,3,1996-06-15,Dupuis-Mignault,Lilias,,1243 Salado Road,,80120,St. Catharines,DC,United States of America,Lilias.Dupuis-Mignault@mailvault.com,Lilias.Dupuis-Mignault@devils.com,,,508-6047,,,866,299-9614,,,,,,ON5,YT8,1,1,3818,uFvyQIUfKTbUM PgCCMAFzVzxWUgrxCVmTSRKKkvTeutC
4761,732-71-8074,m,2,1928-03-31,Patchor,Trista,S,18968 6th Street,Apt. 166,77263,Rockford,ME,United States of America,Trista.S.Patchor@dcemail.com,Trista.S.Patchor@fastmail.fm,,,352-1373,11894,,,333-1715,,,,,,CN4,PE1,1,1,5612,TiPAlyntozUGgThSlbsODbsjHdxTTaatyekWtK
4162,,,3,,,,,11474 Dodd Lane,Apt. 200,V6O 1R5,San Buenaventura,British Columbia,United States of America,Abdallah.Ruzicka@yahoo.com,Abdallah.Ruzicka@gmx.co.uk,1,734,014-6169,,,292,873-4926,,,,576-1636,,,,,1,,
4326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3368,TqJuRszbxcAyNHqViWvxPiYMIfKcMY gYSIVXYB
4762,774-06-0827,M,2,1944-02-10,Baribeau,Tyronda,,14195 Verde Park,,21245,Newark,British Columbia,United States of America,Tyronda.Baribeau@gmx.fr,,,,390-2446,,,,331-3138,90762,,,081-1523,,OH3,NM7,1,1,4200,PdrPGUPdCQgCDLHwCeVAPrtZYJaEMbHaSLkeVASaRnMKqZOv
4763,696-35-7018,f,3,1989-03-31,Rowatt,Ghassem,,10448 Dairy Ashford Court,,19127,Fort Lauderdale,Nova Scotia,Canada,Ghassem.Rowatt@farce.de,,,884,219-9354,,,,831-6826,,,,,,NB6,NH1,0,1,4289,KCsYXAFRCylG IICUHVCiFrKKQKCPpLSw WCTO
2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,22398,bGHOLOjsSUFyEePUGFeaR BYXEuyPDpvoTISKQxgWRUzNpANMM
4764,222-96-6993,m,3,1996-06-08,Collazo,Jolynn,J,20823 West Chapel Avenue,,67227,Jackson,WV,United States of America,Jolynn.J.Collazo@post.com,Jolynn.J.Collazo@yahoo.com,,,108-7705,,,232,906-3711,,1,623,153-2412,,KY5,NF5,1,1,13393,XcEuMvPomZdoJLMjFMNnCUQAplivERrm
4765,086-75-6404,,2,1918-08-04,Coulman,Bing,J,20658 Kerry South,,T5C 1T3,Fort Lauderdale,CA,United States of America,Bing.J.Coulman@ProtectAnimals.com,,1,370,101-1746,,,,,,,,,,ID1,CN2,1,1,15610,RiXfEsvTTfRjcqHOTDNtWCrGMVapLwDhKijqiuCGm
675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4766,657-13-6906,,1,1948-11-27,Lisak,Farshid,,5286 Nolan Road,,95350,Peoria,IN,Canada,Farshid.Lisak@shtrudel.net,Farshid.Lisak@fastemailer.com,,370,928-5492,,,222,936-7358,,,,,,NS7,HI1,1,1,18356,rIOHdKzgMPyYR GkqhSyEBDYPEejEhOF
4767,925-83-6978,m,2,1953-12-19,Bourahla,Kissee,,18688 Beatty Boulevard,,80015,Erie,DE,United States of America,Kissee.Bourahla@snail-mail.net,,1,777,172-6251,,,,130-5361,56571,,,,,NJ5,MB7,1,1,19563,SeiXYulauNuFtWqELrqn kViTdRtLLnMUayhYIKGkUMOyYChmw
